a	a	PART	TRUE
a	a	CONJ	TRUE
aj	aj	ADJ	TRUE
aja	aja	ADV	TRUE
ajkeλ	ajkeλ	N;NOM;SG	TRUE
ajmkitəm	ajmkitəm	ADJ	TRUE
ajn	ajn	ADV	TRUE
aj	ajšək	ADJ;COMP	TRUE
ajšəka	ajšəka	ADV	TRUE
ajλaŋki	ajλaŋki	N;NOM;SG	TRUE
ajλta	ajλta	ADV	TRUE
ajλtijewa	ajλtijewa	ADV	TRUE
akań	akań	N;NOM;SG	TRUE
akań	akańən	N;LOC;SG	TRUE
akań	akańət	N;PL;NOM	TRUE
akań	akańɛmn	N;PSS1D;NOM;SG	TRUE
akańije	akańijew	N;PSS1P;NOM;SG	TRUE
aki	aket	N;PL;NOM	TRUE
aki	akew	N;PSS1P;NOM;SG	TRUE
aki	akeλ	N;PSS3S;NOM;SG	TRUE
aki	akeλaλ	N;PL;PSS3S;NOM	TRUE
ăkəmti	ăkəmmeλ	V;INFER;PST;ARGNO3;ARGNOP	TRUE
ăkəmti	ăkəmsət	V;PST;ARGNO3;ARGNOP	TRUE
ăkəmti	ăkəmλət	V;PRS;ARGNO3;ARGNOP	TRUE
ăkətti	ăkəta	V;IMP;ARGNOS;ARGNO2	TRUE
ăkətti	ăkətəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ăkətti	ăkətsajət	V;PST;PASS;ARGNO3;ARGNOP	TRUE
ăkətti	ăkətsew	V;PST;ARGNO1;ARGNOP;ARGACS	TRUE
ăkətti	ăkətsəm	V;PST;ARGNO1;ARGNOS	TRUE
ăkətti	ăkətsəw	V;PST;ARGNO1;ARGNOP	TRUE
ăkətti	ăkətsəλəw	V;PST;ARGNO1;ARGNOP;ARGAC{D/P}	TRUE
ăkətti	ăkətsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ăkətti	ăkətti	V.PTCP;PRS	TRUE
ăkətti	ăkətti	V.PTCP;PRS	TRUE
ăkətti	ăkətλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
ăkətti	ăkətλajəm	V;PRS;PASS;ARGNO1;ARGNOS	TRUE
ăkətti	ăkətλaλ	V;PRS;ARGNO3;ARGNOP;ARGAC{D/P}	TRUE
ăkətti	ăkətλət	V;PRS;ARGNO3;ARGNOP	TRUE
ăkətti	ăkətλəw	V;PRS;ARGNO1;ARGNOP	TRUE
ăkətti	ăkətλəλaλ	V;PRS;ARGNO3;ARGNOP;ARGAC{D/P}	TRUE
aki	akɛm	N;PSS1S;NOM;SG	TRUE
aki	aki	N;NOM;SG	TRUE
aki	akiλaλ	N;PL;PSS3P;NOM	TRUE
ăkəmti	ăkməs	V;PST;ARGNO3;ARGNOS	TRUE
ăkətti	ăkte	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
ăktəmtti	ăktəmtəsew	V;PST;ARGNO1;ARGNOP;ARGACS	TRUE
ăkətti	ăktəs	V;PST;ARGNO3;ARGNOS	TRUE
ăktəśti	ăktəśa	V;IMP;ARGNOS;ARGNO2	TRUE
ăktəśti	ăktəśəs	V;PST;ARGNO3;ARGNOS	TRUE
ăktəśijəλti	ăktəśijəλsət	V;PST;ARGNO3;ARGNOP	TRUE
ăktəśti	ăktəśmeλ	V;PST;INFER;ARGNO3;ARGNOP	TRUE
ăktəśti	ăktəśsajət	V;PST;PASS;ARGNO3;ARGNOP	TRUE
ăktəśti	ăktəśsəmn	V;PST;ARGNO1;ARGNOD	TRUE
ăktəśti	ăktəśsət	V;PST;ARGNO3;ARGNOP	TRUE
ăktəśti	ăktəśsəw	V;PST;ARGNO1;ARGNOP	TRUE
ăktəśti	ăktəśti	V.PTCP;PRS	TRUE
ăktəśti	ăktəśλəmən	V;PRS;ARGNO1;ARGNOD	TRUE
ăktəśti	ăktəśλət	V;PRS;ARGNO3;ARGNOP	TRUE
amamətśi	amamətśɛm	N;PSS1S;NOM;SG	TRUE
ămərtijəλti	ămərtijəλti	V.PTCP;PRS	TRUE
amətti	amətman	V.CVB	TRUE
amətti	amətsəŋən	V;PST;ARGNO3;ARGNOD	TRUE
amətti	amətsət	V;PST;ARGNO3;ARGNOP	TRUE
amətti	amətsəw	V;PST;ARGNO1;ARGNOP	TRUE
amətti	amətti	V.PTCP;PRS	TRUE
amńa	amńa	N;NOM;SG	TRUE
amńa	amńajew	N;PSS1P;NOM;SG	TRUE
amp	amp	N;NOM;SG	TRUE
amp	ampa	N;DAT;SG	TRUE
ampar	ampar	N;NOM;SG	TRUE
ampar	amparλaλ	N;PSS3S;NOM;PL	TRUE
amp	ampew	N;PSS1P;NOM;SG	TRUE
amp	ampeλ	N;PSS3P;NOM;SG	TRUE
amp	ampən	N;LOC;SG	TRUE
amp	ampət	N;PL;NOM	TRUE
amp	ampətən	N;PL;LOC	TRUE
amp	ampəλ	N;PSS3S;NOM;SG	TRUE
amp	ampɛm	N;PSS1S;NOM;SG	TRUE
amp	ampλan	N;PL;PSS2S;NOM	TRUE
amp	ampλaλ	N;PSS3S;NOM;PL	TRUE
amp	ampλəw	N;PL;PSS1P;NOM	TRUE
amtəŋ	amtəŋ	ADJ	TRUE
amtəptəti	ămtəptəλλe	V;PRS;ARGNO3;ARGNOS;ARGAC	TRUE
an	an	N;NOM;SG	TRUE
ănt	ăn	PART	TRUE
an	ana	N;DAT;SG	TRUE
an	anən	N;LOC;SG	TRUE
an	anət	N;PL;NOM	TRUE
anije	anije	N;NOM;SG	TRUE
anije	anijeλ	N;PSS3S;NOM;SG	TRUE
anije	anijɛm	N;PSS1S;NOM;SG	TRUE
ăńśar	ăńśarən	N;LOC;SG	TRUE
ănt	ănt	PART	TRUE
ănta	ănta	ADV	TRUE
ăntəp	ăntəp	N;NOM;SG	TRUE
ăntəp	ăntəpəλ	N;PSS3S;NOM;SG	TRUE
ăntəpjuλ	ăntəpjuλ	N;NOM;SG	TRUE
ăntti	antəs	V;PST;ARGNO3;ARGNOS	TRUE
ăntti	ăntəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ăntɵm	ăntɵ	PART	TRUE
ăntɵm	ăntɵm	PART	TRUE
ăntpa	ăntpa	PART	TRUE
an	anλaλ	N;PL;PSS3S;NOM	TRUE
ăńχi	ăńχɛm	N;PSS1S;NOM;SG	TRUE
aŋən	aŋən	N;NOM;SG	TRUE
aŋka	aŋka	INTJ	TRUE
aŋkaŋki	aŋkaŋkɛm	N;PSS1S;NOM;SG	TRUE
aŋkaŋki	aŋkaŋkɛmən	N;PSS1D;NOM;SG	TRUE
aŋkaŋki	aŋkaŋki	N;NOM;SG	TRUE
aŋki	aŋken	N;PSS2S;NOM;SG	TRUE
aŋki	aŋken	N;PSS3D;NOM;SG	TRUE
aŋki	aŋkeŋəλam	N;DU;PSS1S;NOM	TRUE
aŋki	aŋkew	N;PSS1P;NOM;SG	TRUE
aŋki	aŋkewa	N;PSS1P;DAT;SG	TRUE
aŋki	aŋkewən	N;PSS1P;LOC;SG	TRUE
aŋki	aŋkeλ	N;PSS3S;NOM;SG	TRUE
aŋki	aŋkeλaw	N;PSS1P;NOM;PL	TRUE
aŋki	aŋkeλən	N;PSS3S;LOC;SG	TRUE
ăŋkərməti	ăŋkərməs	V;PST;ARGNO3;ARGNOS	TRUE
ăŋkərməti	aŋkərməsəm	V;PST;ARGNO1;ARGNOS	TRUE
ăŋkərməti	ăŋkərməti	V.PTCP;PRS	TRUE
ăŋkərməti	ăŋkərməλən	V;PRS;ARGNO2;ARGNOS	TRUE
ăŋkərtti	ăŋkərsəmən	V;PST;ARGNO1;ARGNOD	TRUE
ăŋkərtti	ăŋkərtəs	V;PST;ARGNO3;ARGNOS	TRUE
ăŋkərtti	ăŋkərtmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
aŋkəλ	aŋkəλ	N;NOM;SG	TRUE
aŋkəλ	aŋkəλa	N;DAT;SG	TRUE
aŋkəλ	aŋkəλən	N;LOC;SG	TRUE
aŋki	aŋkɛm	N;PSS1S;NOM;SG	TRUE
aŋki	aŋkɛmən	N;PSS1D;NOM;SG	TRUE
aŋki	aŋki	N;NOM;SG	TRUE
aŋkije	aŋkija	N;DAT;SG	TRUE
aŋkije	aŋkije	N;NOM;SG	TRUE
aŋkije	aŋkijew	N;PSS1P;NOM;SG	TRUE
aŋkije	aŋkijɛm	N;PSS1S;NOM;SG	TRUE
aŋki	aŋkiŋəλ	N;PSS3S;NOM;DU	TRUE
aŋki	aŋkiλaλ	N;PL;PSS3P;NOM	TRUE
aŋkśaśi	aŋkśaśɛm	N;PSS1S;NOM;SG	TRUE
aŋkśaśi	aŋkśaśɛmən	N;PSS1D;NOM;SG	TRUE
aŋkśaśi	aŋkśaśɛmn	N;PSS1D;NOM;SG	TRUE
aŋkśaśi	aŋkśaśiλam	N;PL;PSS1S;NOM	TRUE
aŋkəλ	aŋkλəta	N;PL;DAT	TRUE
aŋkəλ	aŋkλəλən	N;PSS3S;LOC;SG	TRUE
aŋlɛməti	aŋlɛməsəw	V;PST;ARGNO1;ARGNOP	TRUE
aŋkśaśi	aŋśaśɛm	N;PSS1S;NOM;SG	TRUE
aŋśiti	aŋśiti	V.PTCP;PRS	TRUE
apəli	apəlɛm	N;PSS1S;NOM;SG	TRUE
apəli	apəlɛmn	N;PSS1D;NOM;SG	TRUE
apəlnɛ	apəlnɛŋəλ	N;PSS3S;DU;NOM	TRUE
apər	apər	N;NOM;SG	TRUE
apər	apər	ADJ	TRUE
ăplək	ăplək	ADJ	TRUE
aprəŋ	aprəŋ	ADJ	TRUE
ăprəŋa	ăprəŋa	ADV	TRUE
apśi	apśeλ	N;PSS3P;NOM;SG	TRUE
apśi	apśeλ	N;PSS3S;NOM;SG	TRUE
apśi	apśɛm	N;PSS1S;NOM;SG	TRUE
ar	ar	NUM	TRUE
ar	ar	N;NOM;SG	TRUE
ara	ara	ADV	TRUE
arat	arat	N;NOM;SG	TRUE
ar	aren	N;PSS2S;NOM;SG	TRUE
ar	arət	N;PL;NOM	TRUE
ar	arɛm	N;PSS1S;NOM;SG	TRUE
arije	arijeλ	N;PSS3S;NOM;SG	TRUE
arijəλti	arijəλ	V;PRS;ARGNO3;ARGNOS	TRUE
arije	arijɛm	N;PSS1S;NOM;SG	TRUE
arijəλti	arijλ	V;PRS;ARGNO3;ARGNOS	TRUE
ariti	ariman	V.CVB	TRUE
ariti	arisa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
ariti	arisət	V;PST;ARGNO3;ARGNOP	TRUE
ariti	ariti	V.PTCP;PRS	TRUE
ariti	ariλəm	V;PRS;ARGNO1;ARGNOS	TRUE
ariti	ariλət	V;PRS;ARGNO3;ARGNOP	TRUE
ariti	ariλəw	V;PRS;ARGNO1;ARGNOP	TRUE
armija	armija	N;NOM;SG	TRUE
armija	armijaja	N;DAT;SG	TRUE
armija	armijajən	N;LOC;SG	TRUE
art	arn	N;LOC;SG	TRUE
arna	arnat	N;PL;NOM	TRUE
ar	aršək	NUM;COMP	TRUE
arsər	arsər	ADJ	TRUE
ar	art	N;NOM;PL	TRUE
ar	arta	N;DAT;PL	TRUE
artaśti	artaśəs	V;PST;ARGNO3;ARGNOS	TRUE
artaśti	artaśman	V.CVB	TRUE
artaśti	artaśti	V.PTCP;PRS	TRUE
artaλəti	artaλəman	V.CVB	TRUE
artaλəti	artaλəsλən	V;PST;ARGNO3;ARGNOD;ARGACS	TRUE
artaλəti	artaλəti	V.PTCP;PRS	TRUE
artaλəti	artaλəλλe	V;PRS;ARGNO3;ARGNOS;ARGAC	TRUE
art	artən	N;LOC;SG	TRUE
artən	artən	CONJ	TRUE
artən	artən	ADP	TRUE
art	artəλən	N;PSS3S;PL;LOC	TRUE
ar	arλaλ	N;PL;PSS3S;NOM	TRUE
as	as	N;NOM;SG	TRUE
ăs	ăs	N;NOM;SG	TRUE
as	asa	N;DAT;SG	TRUE
ăs	ăsa	N;DAT;SG	TRUE
aśi	aśen	N;PSS2S;NOM;SG	TRUE
aśi	aśen	N;PSS3D;NOM;SG	TRUE
aśi	aśen	N;LOC;SG	TRUE
aśi	aśeŋəλam	N;DU;PSS1S;NOM	TRUE
aśi	aśew	N;PSS1P;NOM;SG	TRUE
aśi	aśeλ	N;PSS3S;NOM;SG	TRUE
